date	ticker	open	high	low	close	volume	close_sliding	criticalDay	happy
Fri Mar 19 00:00:00 EDT 2010	"GOOG"	566.81	568.0	557.28	560.0	47941	[531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0]	15	true
Mon Mar 22 00:00:00 EDT 2010	"GOOG"	555.77	566.85	554.28	557.5	40054	[533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5]	8	true
Tue Mar 23 00:00:00 EDT 2010	"GOOG"	556.45	558.312	542.0	549.0	55012	[536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0]	11	true
Wed Mar 24 00:00:00 EDT 2010	"GOOG"	545.55	559.8495	539.7	557.33	65693	[534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33]	3	true
Thu Mar 25 00:00:00 EDT 2010	"GOOG"	559.37	572.0	558.66	562.88	39316	[536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88]	1	true
Fri Mar 26 00:00:00 EDT 2010	"GOOG"	565.33	567.39	560.0201	562.69	26964	[533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69]	12	true
Mon Mar 29 00:00:00 EDT 2010	"GOOG"	563.05	564.72	560.57	562.45	31051	[541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45]	17	false
Tue Mar 30 00:00:00 EDT 2010	"GOOG"	562.96	567.63	560.28	566.71	19875	[538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71]	2	true
Wed Mar 31 00:00:00 EDT 2010	"GOOG"	565.13	569.74	562.81	567.12	30308	[543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12]	18	true
Thu Apr 01 00:00:00 EDT 2010	"GOOG"	571.02	573.45	565.55	568.8	21026	[540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8]	9	true
Mon Apr 05 00:00:00 EDT 2010	"GOOG"	571.26	574.88	569.0	571.01	19020	[542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01]	5	true
Tue Apr 06 00:00:00 EDT 2010	"GOOG"	568.24	570.89	565.4	568.22	20600	[535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22]	3	true
Wed Apr 07 00:00:00 EDT 2010	"GOOG"	566.69	568.75	561.86	563.54	25810	[531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54]	8	true
