lang	long	lat
"pt"	-39.026777	-16.381064
"th"	104.827263	15.248779
"en"	101.770775	3.127735
"en"	-84.756888	34.233621
"pt"	-43.39234	-22.942199
"en"	0.138102	51.550873
"ar"	48.120469	29.081081
"nl"	112.695776	-8.10758
"es"	-57.881283	-36.86249
"pt"	-43.026899	-22.930585
"pt"	-43.39784	-22.916606
"fr"	0.065478	47.132112
"en"	-122.426286	47.107911
"ja"	136.966113	35.015948
"ja"	139.809118	35.703368
"ar"	58.222808	23.597512
"en"	-117.123333	32.688333
"ja"	138.422611	35.008397
"th"	102.823174	16.479011
"en"	-96.803348	32.510643
"pt"	-48.478075	-1.454652
"es"	-3.604579	40.426121
"ar"	39.819091	21.411484
"pt"	-8.487035	40.570562
"in"	112.24618	-7.56903
"in"	119.558944	-4.844554
"in"	106.64459	-6.29589
"en"	30.54462	37.780334
"und"	-63.439841	-32.690685
"es"	-99.102834	19.330175
"en"	3.354628	6.654367
"in"	-2.16667	43
"th"	102.781474	14.61394
"es"	-65.176136	-26.788381
"en"	50.578448	26.123692
"es"	-58.283275	-34.783625
"en"	-95.514493	29.772614
"tr"	28.671107	41.045175
"es"	-60.0174	-36.017486
"en"	-84.351855	33.920614
"tr"	27.231305	38.449039
"und"	-46.68575	-23.556665
"en"	-0.236229	5.593486
"en"	-72.703563	41.8002
"en"	-79.958518	39.634202
"tr"	38.22992	40.933441
"en"	-75.163789	39.952335
"in"	103.189226	3.75502
"en"	-2.198593	52.185017
"es"	-65.986665	18.353039
"pt"	-51.164069	-30.034509
"en"	-42.489776	-14.066556
"pt"	-43.976114	-19.919259
"ru"	37.669356	55.599187
"th"	101.725647	17.586597
"tr"	28.589762	41.020444
"es"	-58.266248	-32.490223
"ru"	27.443269	53.903942
"es"	-73.622412	4.114671
"pt"	-7.743528	41.307023
"en"	-79.39412	43.707959
"en"	-0.107397	51.50539
"en"	-77.0415	38.9028
"en"	122.515515	-3.976068
"en"	28.183685	-26.325163
"es"	-3.699556	42.340465
"und"	104.55208	-4.72549
"es"	-55.863496	-27.357243
"pt"	-38.537802	-3.732423
"ja"	135.772691	34.967096
"en"	-46.645311	-23.587384
"en"	-1.908212	52.470806
"en"	-38.463899	-12.981938
"pt"	-49.467187	-28.933207
"en"	51.455175	25.252843
"en"	105.2563	-5.38269
"en"	-1.908173	52.470848
"ja"	144.336172	43.009069
"es"	-56.194887	-34.861783
"en"	-88.1078	41.939235
"ru"	73.404472	54.924712
"en"	-123.125896	49.286545
"tr"	35.362268	38.527954
"en"	-71.860548	42.560369
"es"	-4.43343	39.938055
"es"	-73.054049	-36.798171
"en"	28.070265	-26.157478
"en"	-84.060222	41.891517
"en"	-118.494279	34.00846
"pt"	-43.120822	-22.646788
"en"	139.686206	35.670471
"in"	103.370887	3.956644
"en"	-119.618986	36.585093
"ja"	135.501934	34.670506
"en"	-122.351476	37.927634
"en"	-81.603649	28.352712
"es"	-3.647117	37.145845
"pt"	-51.085875	-29.935745
"en"	-90.857723	30.501957
"tr"	27.880731	39.638736
"und"	32.616709	15.611827
"ar"	39.217524	21.528811
"in"	101.99585	2.680306
